ST,Year,Drug,NumRes,NumSusc,Pathogen
Minor,1999-2001,Ampicillin,22,78,E.coli
95,1999-2000,Ampicillin,1,33,E.coli
127,1999-2000,Ampicillin,3,21,E.coli
73,1999-2000,Ampicillin,6,17,E.coli
69,1999-2000,Ampicillin,19,7,E.coli
131,1999-2000,Ampicillin,2,5,E.coli
10,1999-2000,Ampicillin,2,9,E.coli
Minor,1999-2001,Trimethoprim-Sulfamethoxazole,15,85,E.coli
95,1999-2000,Trimethoprim-Sulfamethoxazole,1,33,E.coli
127,1999-2000,Trimethoprim-Sulfamethoxazole,1,23,E.coli
73,1999-2000,Trimethoprim-Sulfamethoxazole,1,22,E.coli
69,1999-2000,Trimethoprim-Sulfamethoxazole,17,9,E.coli
131,1999-2000,Trimethoprim-Sulfamethoxazole,1,6,E.coli
10,1999-2000,Trimethoprim-Sulfamethoxazole,2,9,E.coli
Minor,1999-2001,Ciprofloxacin,1,99,E.coli
95,1999-2000,Ciprofloxacin,0,34,E.coli
127,1999-2000,Ciprofloxacin,0,24,E.coli
73,1999-2000,Ciprofloxacin,0,23,E.coli
69,1999-2000,Ciprofloxacin,0,26,E.coli
131,1999-2000,Ciprofloxacin,0,7,E.coli
10,1999-2000,Ciprofloxacin,0,11,E.coli
