"","Dataset","Drug","NumRes","FractionRes","GSI_RESSim","GSI_RESSimNormalized"
"1","Addams-Sapper_ST_Data.csv","Aztreonam",28,0.168674698795181,0.826530612244898,0.857142857142857
"2","Addams-Sapper_ST_Data.csv","Cefepime",23,0.13855421686747,0.748582230623819,0.782608695652174
"3","Addams-Sapper_ST_Data.csv","Cephalosporins-BS",28,0.168674698795181,0.826530612244898,0.857142857142857
"4","Addams-Sapper_ST_Data.csv","Fluoroquinolones",57,0.343373493975904,0.816251154201293,0.830827067669173
"5","Addams-Sapper_ST_Data.csv","Trim-Sulf",87,0.524096385542169,0.820716078742238,0.830259288960171
"6","Galloway_ST_Data.csv","Ampicillin",41,0.788461538461538,0.829268292682927,0.85
"7","Galloway_ST_Data.csv","Gentamicin",16,0.307692307692308,0.75,0.8
"8","Galloway_ST_Data.csv","Streptomycin",39,0.75,0.807363576594346,0.828609986504723
"9","Galloway_ST_Data.csv","Vancomycin",9,0.173076923076923,0.790123456790123,0.888888888888889
"10","Kallonen_BSAC_ST_Data.csv","Amoxi-Clav",326,0.297989031078611,0.922823591403515,0.925663048607834
"11","Kallonen_BSAC_ST_Data.csv","Amoxicillin",661,0.604204753199269,0.928666738380623,0.930073809196351
"12","Kallonen_BSAC_ST_Data.csv","Cefotaxime",81,0.0798029556650246,0.915714067977442,0.92716049382716
"13","Kallonen_BSAC_ST_Data.csv","Ceftazidime",58,0.0541044776119403,0.910820451843044,0.926799758015729
"14","Kallonen_BSAC_ST_Data.csv","Cefuroxime",177,0.161791590493601,0.915190398672157,0.920390344119158
"15","Kallonen_BSAC_ST_Data.csv","Ciprofloxacin",181,0.166360294117647,0.94337779677055,0.948618784530387
"16","Kallonen_BSAC_ST_Data.csv","Gentamicin",78,0.0724233983286908,0.952005259697567,0.964368964368964
"17","Kallonen_BSAC_ST_Data.csv","Pip-Taz",60,0.0578034682080925,0.929444444444444,0.945197740112994
"18","Kallonen_CUH_ST_Data.csv","Amikacin",2,0.005,0.5,1
"19","Kallonen_CUH_ST_Data.csv","Amoxi-Clav",121,0.292270531400966,0.90594904719623,0.913498622589532
"20","Kallonen_CUH_ST_Data.csv","Ampicillin",247,0.596618357487923,0.909275680637283,0.9129719232415
"21","Kallonen_CUH_ST_Data.csv","Aztreonam",22,0.054590570719603,0.760330578512397,0.796536796536797
"22","Kallonen_CUH_ST_Data.csv","Cefalotin",57,0.228915662650602,0.879039704524469,0.894736842105263
"23","Kallonen_CUH_ST_Data.csv","Cefepime",8,0.0199501246882793,0.875,1
